2 input:
       Class Distribution       Original   SD      BF   
 (2,)                            1.0000  1.0000  1.0000
3 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1)                       0.0031  0.0000  0.0000
 (1, 2)                          0.3858  0.4059  0.6380
 (3,)                            0.6111  0.5941  0.3620
4 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 2)                       0.1232  0.1142  0.5104
 (1, 3)                          0.1517  0.2929  0.1483
 (2, 2)                          0.4028  0.1900  0.2408
 (4,)                            0.3223  0.4028  0.1005
5 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 1, 1)                 0.0168  0.0000  0.0000
 (1, 1, 1, 2)                    0.0672  0.0429  0.4639
 (1, 1, 3)                       0.0168  0.0933  0.0479
 (1, 2, 2)                       0.1429  0.1370  0.1815
 (1, 4)                          0.1429  0.2193  0.0479
 (2, 3)                          0.3361  0.2840  0.2025
 (5,)                            0.2773  0.2235  0.0563
6 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 1, 2)                 0.0299  0.0265  0.3662
 (1, 1, 1, 3)                    0.0299  0.0221  0.0368
 (1, 1, 2, 2)                    0.1343  0.1059  0.1765
 (1, 1, 4)                       0.0149  0.0691  0.0088
 (1, 2, 3)                       0.1791  0.1853  0.0985
 (1, 5)                          0.0448  0.1265  0.0191
 (2, 2, 2)                       0.1343  0.0485  0.0471
 (2, 4)                          0.1493  0.1721  0.1235
 (3, 3)                          0.1045  0.0956  0.0971
 (6,)                            0.1791  0.1485  0.0265
7 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 1, 1, 2)              0.0385  0.0115  0.3346
 (1, 1, 1, 1, 3)                 0.0000  0.0077  0.0192
 (1, 1, 1, 2, 2)                 0.0769  0.0808  0.1038
 (1, 1, 1, 4)                    0.0385  0.0038  0.0115
 (1, 1, 2, 3)                    0.0000  0.1269  0.0808
 (1, 1, 5)                       0.0000  0.0269  0.0038
 (1, 2, 2, 2)                    0.2308  0.0885  0.0769
 (1, 2, 4)                       0.0769  0.1231  0.0269
 (1, 3, 3)                       0.0385  0.0731  0.0077
 (1, 6)                          0.0000  0.0731  0.0154
 (2, 2, 3)                       0.0769  0.0923  0.0462
 (2, 5)                          0.1538  0.1192  0.0885
 (3, 4)                          0.2692  0.1308  0.1808
 (7,)                            0.0000  0.0423  0.0038
8 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 1, 1, 1, 1, 1)        0.0417  0.0000  0.0000
 (1, 1, 1, 1, 1, 1, 2)           0.0000  0.0087  0.2783
 (1, 1, 1, 1, 1, 3)              0.0000  0.0087  0.0304
 (1, 1, 1, 1, 2, 2)              0.0833  0.0304  0.1435
 (1, 1, 1, 1, 4)                 0.0000  0.0043  0.0043
 (1, 1, 1, 2, 3)                 0.0417  0.0783  0.0609
 (1, 1, 1, 5)                    0.0000  0.0043  0.0087
 (1, 1, 2, 2, 2)                 0.1250  0.0391  0.0696
 (1, 1, 2, 4)                    0.0000  0.0478  0.0217
 (1, 1, 3, 3)                    0.0000  0.0478  0.0348
 (1, 1, 6)                       0.0000  0.0130  0.0000
 (1, 2, 2, 3)                    0.0417  0.1174  0.1043
 (1, 2, 5)                       0.0833  0.0696  0.0087
 (1, 3, 4)                       0.0417  0.1043  0.0217
 (1, 7)                          0.0417  0.0435  0.0043
 (2, 2, 2, 2)                    0.0000  0.0000  0.0130
 (2, 2, 4)                       0.0417  0.0435  0.0130
 (2, 3, 3)                       0.0000  0.0609  0.0174
 (2, 6)                          0.1250  0.0609  0.0130
 (3, 5)                          0.0833  0.0957  0.0739
 (4, 4)                          0.0833  0.0739  0.0739
 (8,)                            0.1667  0.0478  0.0043
9 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 1, 1, 1, 1, 2)        0.0000  0.0125  0.2625
 (1, 1, 1, 1, 1, 1, 3)           0.0000  0.0000  0.0375
 (1, 1, 1, 1, 1, 2, 2)           0.0000  0.0375  0.1875
 (1, 1, 1, 1, 1, 4)              0.0000  0.0000  0.0125
 (1, 1, 1, 1, 2, 3)              0.0000  0.0375  0.0750
 (1, 1, 1, 2, 2, 2)              0.0000  0.1000  0.0750
 (1, 1, 1, 2, 4)                 0.0000  0.0125  0.0000
 (1, 1, 1, 3, 3)                 0.0000  0.0250  0.0250
